"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.383092500E-1,7.347046933E-1,9.548853993E-2,4.023650354E0,4.091292121E0
6.483172500E-1,8.676782709E-1,-3.946888107E-1,3.975208511E0,4.087900139E0
6.583262500E-1,9.378869587E-1,-7.725534278E-1,3.707190857E0,3.901247851E0
6.683342500E-1,9.934398928E-1,-9.059430349E-1,2.869882439E0,3.169208232E0
6.783432500E-1,1.385323502E0,-9.529587418E-1,2.086580075E0,2.679751477E0
6.883512500E-1,1.904140222E0,-7.148735690E-1,1.137421512E0,2.330348022E0
6.983602500E-1,4.184114031E0,5.263897419E-1,-6.687893236E0,7.906441192E0
7.083682500E-1,5.854755637E0,2.010449327E0,-1.634505170E1,1.747800861E1
7.183772500E-1,4.932819883E0,2.706381426E0,-2.091285680E1,2.165651847E1
7.283852500E-1,3.353510908E0,2.693046851E0,-1.527386518E1,1.586787617E1
7.383942500E-1,2.834500937E0,2.522085375E0,-6.978884600E0,7.943559685E0
7.484022500E-1,2.275690724E0,2.256684934E0,-1.104770733E0,3.389972497E0
7.584112500E-1,1.424770280E0,2.218819535E0,1.561175004E0,3.064375609E0
7.684192500E-1,3.677039105E-1,2.366040730E0,2.801353072E0,3.685231870E0
7.784282500E-1,-5.757624614E-1,2.770121339E0,3.047046057E0,4.158072188E0
7.884362500E-1,-1.788719986E0,3.136016121E0,3.391496176E0,4.953419284E0
7.984452500E-1,-2.918216109E0,3.257193233E0,2.770773304E0,5.177110943E0
8.084532500E-1,-3.763170930E0,3.358665229E0,1.649718075E0,5.306944252E0
8.184622500E-1,-4.048833727E0,3.397945070E0,7.019104381E-1,5.332144363E0
8.284702500E-1,-3.263618739E0,3.231774802E0,-1.495498493E-1,4.595426074E0
8.384792500E-1,-4.021118510E-1,1.980516846E0,1.059959865E0,2.282028885E0
8.484872500E-1,2.131024176E0,4.291698414E-1,4.814351785E0,5.282370103E0
8.584962500E-1,2.802428375E0,-7.160909593E-2,6.673373430E0,7.238276424E0
8.685047500E-1,2.596695262E0,5.464895457E-1,6.329366530E0,6.863115749E0
8.785137500E-1,2.610769510E0,1.528335872E0,5.504794518E0,6.281296893E0
8.885217500E-1,2.949591098E0,2.453918535E0,3.787441553E0,5.391337250E0
8.985307500E-1,2.962895268E0,3.372795610E0,1.539445728E0,4.745986910E0
9.085387500E-1,2.133747810E0,3.838814020E0,1.060826714E-1,4.393247811E0
9.185477500E-1,1.764842881E0,3.236884684E0,-3.849748313E-1,3.706790859E0
9.285567500E-1,1.782249457E0,1.576236847E0,-7.474776435E-1,2.493924328E0
9.385647500E-1,1.975808668E0,-1.029437984E0,-1.090528085E0,2.480486637E0
9.485737500E-1,1.534046263E0,-4.517556474E0,-1.256597049E0,4.933624487E0
9.585817500E-1,8.527076447E-1,-8.048408171E0,-9.868823867E-1,8.153399368E0
9.685897500E-1,1.886826324E-1,-1.156017689E1,-2.731107254E-1,1.156494187E1
9.785987500E-1,-4.231764454E-1,-1.458644662E1,7.990886772E-1,1.461444649E1
9.886077500E-1,-1.463827634E0,-1.624440006E1,1.313503321E0,1.636302588E1
9.986157500E-1,-2.569340817E0,-1.534443172E1,8.479455261E-1,1.558114593E1
1.008624750E0,-3.490481935E0,-1.184583443E1,2.025335169E-1,1.235104357E1
1.018632750E0,-4.287390186E0,-8.083704888E0,5.753847313E-1,9.168373188E0
1.028641750E0,-5.063824995E0,-6.035170307E0,9.766393074E-1,7.938477722E0
1.038649750E0,-5.028769768E0,-6.306809142E0,1.706830316E0,8.244855163E0
1.048658750E0,-3.584870321E0,-8.638327911E0,3.472923331E0,9.976632738E0
1.058666750E0,-5.783519009E-1,-1.125377344E1,4.951882975E0,1.230865763E1
1.068675750E0,4.366890976E0,-1.380089776E1,4.726906675E0,1.522754617E1
1.078683750E0,1.003269355E1,-1.634799518E1,3.772487299E0,1.954849219E1
1.088692750E0,1.545103581E1,-1.889018796E1,4.220637787E0,2.476666090E1
1.098700750E0,1.966945107E1,-2.044043686E1,4.575554422E0,2.873385569E1
1.108709750E0,2.135387018E1,-1.950233297E1,3.556066645E0,2.913716481E1
1.118717750E0,2.093060895E1,-1.638782525E1,1.240110825E0,2.661182223E1
1.128726750E0,2.015333156E1,-1.212540150E1,-1.337908722E0,2.355784655E1
1.138734750E0,1.922807751E1,-7.401885045E0,-5.124647732E0,2.123131840E1
1.148743750E0,1.807381024E1,-1.322457163E0,-1.811402388E1,2.562282909E1
1.158751750E0,1.266427037E1,3.646702580E0,-2.853127360E1,3.142794548E1
1.168760750E0,5.332467132E0,4.779065593E0,-2.169183691E1,2.284317101E1
1.178768750E0,1.325666115E0,5.855014084E0,-1.804229843E1,1.901481299E1
1.188777750E0,-1.446399423E-1,5.962076018E0,-1.274584020E1,1.407208988E1
1.198785750E0,-1.378627270E-1,5.553051589E0,-6.327898879E0,8.420076740E0
1.208794750E0,-8.289308193E-1,5.312878960E0,-1.592441382E0,5.608001311E0
1.218802750E0,-1.789237757E0,5.964969220E0,7.495702158E-1,6.272486354E0
1.228811750E0,-2.482676018E0,6.631289849E0,1.203731203E0,7.182384986E0
1.238819750E0,-3.146034155E0,7.058900238E0,1.804518578E0,7.936113078E0
1.248828750E0,-3.860201966E0,7.448180959E0,2.464550527E0,8.743601553E0
1.258836750E0,-4.745551692E0,7.836415029E0,3.227733207E0,9.713285902E0
1.268845750E0,-5.475524526E0,7.987337512E0,4.537300183E0,1.069420508E1
1.278853750E0,-5.830362808E0,7.766877601E0,6.425329864E0,1.164484358E1
1.288862750E0,-5.871222566E0,7.366069679E0,8.936718342E0,1.298442034E1
1.298870750E0,-5.423191946E0,6.964497526E0,1.143239418E1,1.444350627E1
1.308879750E0,-5.105312744E0,6.612507423E0,1.300659211E1,1.545836055E1
1.318887750E0,-5.093969731E0,6.387153978E0,1.278585738E1,1.517308184E1
1.328896750E0,-5.713801487E0,6.368573865E0,1.068406635E1,1.368778778E1
1.338904750E0,-6.026334579E0,6.412377697E0,9.570282869E0,1.300098498E1
1.348913750E0,-6.073835020E0,6.706124854E0,1.005000014E1,1.352279872E1
1.358921750E0,-6.417305145E0,7.123773342E0,1.004169709E1,1.388400635E1
1.368930750E0,-6.928033120E0,7.297906348E0,9.308225867E0,1.370766752E1
1.378938750E0,-7.546004292E0,7.299927145E0,8.600332704E0,1.357191364E1
1.388947750E0,-8.281819664E0,7.307270079E0,8.148669208E0,1.372536130E1
1.398955750E0,-8.267894520E0,7.394746179E0,6.803845861E0,1.301278868E1
1.408964750E0,-7.792835146E0,7.672541547E0,5.344862645E0,1.217225247E1
1.418972750E0,-7.178523746E0,7.933825548E0,4.249590568E0,1.151241986E1
1.428981750E0,-6.562362871E0,8.139951594E0,3.347946113E0,1.097871402E1
1.438989750E0,-5.905196058E0,8.398043016E0,2.338646818E0,1.052937491E1
1.448998750E0,-5.275015315E0,8.617360965E0,1.359906679E0,1.019480469E1
1.459006750E0,-4.782203794E0,8.739887615E0,6.693107490E-1,9.985143240E0
1.469015750E0,-4.464957261E0,8.793639314E0,1.857017950E-1,9.863996193E0
1.479023750E0,-4.358516009E0,8.835318267E0,-1.397437763E-1,9.852869583E0
1.489032750E0,-4.219088275E0,8.969457487E0,-6.312641593E-1,9.932289159E0
1.499040750E0,-4.064515667E0,9.280855050E0,-2.086840861E0,1.034453783E1
1.509049750E0,-3.608211529E0,1.191125542E1,-1.675259444E1,2.086975363E1
1.519057750E0,-4.483648178E0,1.255048356E1,-1.761557798E1,2.208905444E1
1.529066750E0,-5.680105737E0,1.064374512E1,-1.097543194E1,1.630990551E1
1.539074750E0,-5.698254325E0,8.772960636E0,-8.331173673E0,1.337323429E1
1.549083750E0,-5.115168811E0,7.270727320E0,-7.699574980E0,1.176060724E1
1.559091750E0,-4.680478906E0,5.596498740E0,-1.344718565E1,1.529883927E1
1.569100750E0,-3.755000031E0,5.608082659E0,-6.354209011E0,9.269659567E0
1.579108750E0,-3.199875317E0,4.939016177E0,5.167567465E-1,5.907632383E0
1.589117750E0,-2.744576900E0,5.146432119E0,8.124054769E0,1.000093655E1
1.599125750E0,-2.955241263E0,5.641005991E0,1.080808463E1,1.254468385E1
