"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.199616631E0,-9.916744232E-1,9.294872284E-1,-2.612282515E0,2.944721482E0
1.218738402E0,-3.568266392E0,-7.266178131E-1,-6.339108944E0,7.310595098E0
1.237886840E0,-4.490844727E0,-2.448690414E0,-8.863708496E0,1.023372363E1
1.257021944E0,-4.684592247E0,-5.812808037E0,-4.528367996E0,8.731566784E0
1.276143715E0,-4.921599388E0,-9.861958504E0,-7.389855385E-2,1.102206093E1
1.295292152E0,-5.344954491E0,-8.300759315E0,-1.882927775E0,1.005069951E1
1.314413819E0,-3.143017292E0,-3.108187675E0,-3.072818756E0,5.383456458E0
1.333562256E0,6.402992010E-1,-1.540119171E0,-2.738460541E0,3.206417980E0
1.352697360E0,2.784603596E0,3.001565456E0,-7.285789251E-1,4.158634346E0
1.371819131E0,3.825196266E0,5.457427979E0,-7.199168205E-2,6.664895304E0
1.390967569E0,3.710968494E0,6.561388016E0,1.989145041E0,7.796139933E0
1.410102673E0,2.989414930E0,7.926575184E0,1.984395027E0,8.700863141E0
1.429237777E0,1.979691386E0,8.299210548E0,5.171984434E-1,8.547722968E0
1.448372881E0,1.291627288E0,8.474821091E0,-3.583478928E-2,8.572757882E0
1.467507985E0,3.176001310E-1,8.879175186E0,9.142596722E-1,8.931768726E0
1.486629756E0,5.695803761E-1,7.010058403E0,3.131649017E0,7.698867851E0
1.505778194E0,1.042710185E0,3.345341206E0,2.230080366E0,4.153529915E0
1.524913298E0,2.593735933E0,-1.966896057E-1,-7.451001406E-1,2.705795098E0
1.544035069E0,2.616434336E0,-5.124138832E0,-3.021891594E0,6.498796520E0
1.563183506E0,1.709961176E0,-1.076922226E1,-8.947604895E-1,1.094078204E1
1.582318610E0,5.026570559E-1,-1.057679653E1,1.595657587E0,1.070828708E1
1.601440381E0,1.373630285E0,-3.129650116E0,4.940375328E0,6.007401967E0
1.620588819E0,2.123933315E0,-1.942715645E0,2.914203644E0,4.096073691E0
1.639723923E0,-1.388718843E0,-7.883078575E0,-3.620233059E0,8.785075711E0
1.658845694E0,-7.685132980E0,-1.071294212E1,-7.574151039E0,1.520513603E1
1.677994235E0,-8.451354980E0,-2.731084824E-1,-1.589030743E0,8.603778702E0
1.697129340E0,-5.114447117E0,2.236342907E0,-1.218010426E0,5.713348257E0
1.716251110E0,-3.558249950E0,-9.439058304E-1,-9.839994907E-1,3.810558479E0
1.735399548E0,-2.765198946E0,-4.239984512E0,-7.571813464E-1,5.118311974E0
1.754534652E0,-1.814409494E0,-4.203607559E0,3.450092971E-1,4.591451812E0
1.773669756E0,-1.216887236E0,-1.231486320E0,5.918635428E-2,1.732303705E0
1.792804860E0,-2.334334850E-1,1.379190445E0,1.850643381E-2,1.398928148E0
1.811926631E0,9.734427929E-2,3.332660198E0,1.449647546E0,3.635598701E0
1.831075173E0,3.698349595E-1,5.228000164E0,2.170001030E0,5.672536301E0
1.850210277E0,5.612869859E-1,6.009818554E0,8.369973898E-1,6.093728478E0
1.869345381E0,4.160615206E-1,6.566888809E0,3.786974251E-1,6.590944360E0
1.888480485E0,9.086637497E-1,6.675173759E0,1.249060631E-1,6.737894037E0
1.907615590E0,9.360968471E-1,6.664475918E0,4.335484505E-1,6.743847628E0
1.926750694E0,9.886634350E-1,5.874413013E0,7.369973660E-1,6.002445232E0
1.945885902E0,1.083853602E0,4.190479279E0,9.842742682E-1,4.438879481E0
1.965021006E0,2.306884527E-1,2.658545494E0,1.752236843E0,3.192399609E0
1.984142777E0,-4.776570797E-1,1.155501366E0,2.242893457E0,2.567861124E0
2.003291215E0,-4.054501057E-1,3.662309647E-1,3.169093132E0,3.215846107E0
2.022426319E0,5.070637465E-1,-8.746271133E-1,3.354421616E0,3.503459805E0
2.041548194E0,1.521055579E0,-2.947760582E0,4.355835915E0,5.475053337E0
