"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.287787083E-1,-1.660962417E0,-6.679000790E0,1.910064475E0,7.142562146E0
6.387857083E-1,-6.880975606E-1,-5.725108833E0,3.394768570E0,6.691397690E0
6.487917083E-1,-8.271754121E-1,-4.386551362E0,4.455386539E0,6.306863025E0
6.587987083E-1,-5.481959825E-1,-3.230760310E0,3.109323581E0,4.517324889E0
6.688057084E-1,-3.051971021E-1,-2.039134598E0,2.617006735E0,3.331657159E0
6.788117083E-1,4.470613711E-1,-9.477342546E-1,3.573447201E0,3.723921184E0
6.888187084E-1,-1.829091648E-1,-1.976540154E-1,4.432678292E0,4.440851237E0
6.988251250E-1,-1.430643224E0,7.940483773E-1,3.609094166E0,3.962677575E0
7.088311250E-1,-2.272096879E0,1.836862451E0,2.605309672E0,3.914604243E0
7.188381250E-1,-2.347329202E0,2.210372062E0,2.765569574E0,4.247831694E0
7.288451250E-1,-2.941331322E0,2.307516534E0,3.533440259E0,5.144051182E0
7.388511250E-1,-3.248760379E0,2.399906634E0,4.060331400E0,5.727153475E0
7.488581250E-1,-3.332003095E0,2.752278560E0,4.371223178E0,6.146940212E0
7.588641250E-1,-3.337176419E0,2.877638186E0,4.226801337E0,6.106013227E0
7.688711250E-1,-3.198504730E0,2.908474647E0,4.157323844E0,5.997749480E0
7.788781250E-1,-2.728124297E0,3.162712753E0,4.328820632E0,6.015322286E0
7.888841250E-1,-2.595138148E0,3.396907774E0,4.794578841E0,6.423527901E0
7.988911250E-1,-2.753385438E0,3.515805057E0,5.223887261E0,6.872482425E0
8.088981250E-1,-2.978694445E0,3.650797386E0,5.213025473E0,7.026846856E0
8.189041250E-1,-3.564824897E0,3.855925312E0,4.755260993E0,7.084394376E0
8.289111250E-1,-4.249696695E0,4.072752348E0,4.430992540E0,7.367559200E0
8.389181250E-1,-4.770072283E0,4.052812173E0,4.042509671E0,7.451225438E0
8.489241250E-1,-5.100038556E0,4.122889883E0,3.518367014E0,7.442279268E0
8.589311250E-1,-4.973735774E0,4.295992609E0,3.394314826E0,7.396957022E0
8.689381250E-1,-4.590766830E0,4.583909508E0,2.918139218E0,7.113571744E0
8.789441250E-1,-4.239989732E0,4.743716251E0,2.363029707E0,6.787066096E0
8.889511250E-1,-4.176290749E0,4.512924310E0,1.668761726E0,6.371236611E0
8.989571250E-1,-4.013201087E0,3.956347733E0,8.075899440E-1,5.693037139E0
9.089641250E-1,-3.533275368E0,3.220263973E0,-2.475091302E-1,4.787002784E0
9.189711250E-1,-2.640678018E0,1.771647286E0,-1.733893861E0,3.621919715E0
9.289771250E-1,-8.313539055E-1,2.512946177E-1,-3.180790590E0,3.297230213E0
9.389841250E-1,9.830132841E-1,-1.253025570E0,-5.295035012E0,5.529356560E0
9.489911250E-1,3.711066976E0,-3.012548069E0,-7.359642420E0,8.775636759E0
9.589971250E-1,6.090124193E0,-4.679715552E0,-8.469454476E0,1.143332889E1
9.690041250E-1,7.094655962E0,-5.683096588E0,-8.200159789E0,1.224231802E1
9.790111250E-1,6.081911779E0,-5.207950675E0,-6.901294388E0,1.057072681E1
9.890171250E-1,4.072767550E0,-3.615842146E0,-5.194452962E0,7.526226911E0
9.990241250E-1,2.562676161E0,-1.902015052E0,-3.531435249E0,4.759832484E0
1.009030125E0,1.484593290E0,-3.883872664E-1,-2.453289374E0,2.893698439E0
1.019037125E0,7.157477278E-1,8.308162540E-1,-2.005492058E0,2.285727204E0
1.029044125E0,-1.750919491E-2,1.747636279E0,-1.789708458E0,2.501518639E0
