"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.136414337E0,-4.307928085E-1,-7.045269012E-2,3.614149392E-1,5.667157874E-1
1.155551004E0,-2.124029398E-1,3.498363495E-2,1.602470279E-1,2.683616468E-1
1.174687670E0,3.108322620E-1,-4.129219055E-2,-4.825516939E-1,5.754805622E-1
1.193824441E0,9.121098518E-1,-1.509037018E-1,-8.333940506E-1,1.244693518E0
1.212961108E0,1.649011493E0,-5.290403366E-1,-1.035954475E0,2.018000063E0
1.232097774E0,2.036166668E0,-1.796553135E0,-5.397052169E-1,2.768548282E0
1.251221108E0,1.538722754E0,-4.379149437E0,-2.065110207E-1,4.646209671E0
1.270371212E0,-9.360138178E-1,-6.983589172E0,4.655237198E-1,7.061398723E0
1.289507879E0,-5.424245834E0,-8.528680801E0,2.324015617E0,1.037120474E1
1.308631212E0,-8.025974274E0,-9.020414352E0,1.316395164E0,1.214565907E1
1.327781316E0,-6.950868607E0,-6.137060165E0,-8.967397809E-1,9.315697724E0
1.346917983E0,-4.941790104E0,-2.782195568E0,8.709933758E-1,5.737641595E0
1.366041316E0,-2.853603363E0,-5.065536499E-2,2.219100475E0,3.615248959E0
1.385191420E0,7.467596531E-1,7.555642128E0,3.327364922E0,8.289555794E0
1.404328087E0,6.720309258E0,1.962589455E1,5.077152252E0,2.135686700E1
1.423451524E0,8.738451004E0,2.503678131E1,5.334243774E-1,2.652330081E1
1.442601524E0,8.426156998E0,1.376286411E1,3.083232164E0,1.642932959E1
1.461738191E0,2.619471073E0,1.760274124E1,1.784191728E0,1.788578956E1
1.480861629E0,6.846355200E-1,1.568481159E1,-1.247783899E-1,1.570024236E1
1.500011629E0,7.102898359E-1,7.829888344E0,1.027096629E0,7.928845478E0
1.519148399E0,-4.276049137E-2,2.379425049E0,4.827715158E-1,2.428283418E0
1.538271733E0,-7.868999243E-1,-2.038121223E0,-3.121353984E-1,2.206938631E0
1.557421733E0,-3.509811163E-1,-6.225028038E0,-1.102971315E0,6.331722320E0
1.576558504E0,-1.768484116E-1,-9.751164436E0,-1.323306322E0,9.842135076E0
1.595681941E0,-2.000879765E0,-1.287077808E1,-6.302047968E-1,1.304061373E1
1.614831941E0,-4.746314526E0,-1.492572975E1,-1.115178704E0,1.570186402E1
1.633968712E0,-6.036346912E0,-1.634906578E1,-3.353218555E0,1.774749308E1
1.653092045E0,-4.783219337E0,-1.352073097E1,-1.664282322E0,1.443811584E1
1.672242149E0,-2.890934467E0,-8.417492867E0,9.672096968E-1,8.952495901E0
